72 | 76450198 | Ich habe den Todesengel Überlebt | Eva Mozes Kor | cbj | / | Buch | False
73 | 76450615 | Melina und die Delfine | Federica de Cesco | Arena | / | Buch | False
74 | 76450616 | Melina und die Delfine | Federica de Cesco | Arena | / | Buch | False
75 | 76450617 | Die puppe im Feuer | Michael Hatry | dtv Junior | / | Buch | False
76 | 76450618 | Höhenflug abwärts | Jana Frey | Hase und Igel | / | Buch | False
77 | 76450619 | Die Welle | Morton Rhue | Ravensburger | / | Buch | False
78 | 76450620 | Wofür ich gelebt habe | Joyce Carol Oates | btb | / | Buch | False
79 | 76450622 | Ohne ein Wort | Lindwood Barclay | Ullstein | / | Buch | False
80 | 76450544 | Schattenkinder | Margret Peterson Haddix | dtv | / | Buch | False
81 | 76450546 | 7 Minuten zu Spät | Kate Pepper | Rowohl | / | Buch | False
82 | 76450547 | Leise Stirbst du nie | Daniel Annaechino | Ullstein | / | Buch | False
83 | 76450045 | Der Junge im gestreiften Pyjama | John Boyne | Fischer | / | Buch | False
84 | 76450621 | Rolltreppe abwärts | Hans-Georg Noack | Ravensburger | / | Buch | False
85 | 76450623 | Das geisterhaus | William Sleator | Walter Verlag | / | Buch | False
86 | 76450624 | Patty sucht den Mississippi | Thomas Jeier | Schneider Buch | / | Buch | False
87 | 76450625 | Unheimlich | Ursula Isbel | Schneider Buch | / | Buch | False
88 | 76450626 | Der Wheinachts Quilt | Jennifer Chiaverini | Weltbild | / | Buch | False
89 | 76450627 | Der Fluch der Sterne | Elizabeth Redfern | BLT | / | Buch | False
90 | 76450096 | Game it | Christina Hahn | Gulliver | / | Buch | False
91 | 76450628 | Die wheinachsschuhe | Donna VanLiere | Bastei Lubbe | / | Buch | False
92 | 76450629 | Drachen haben nichts zu lachen | Franz Sales Sklenitzka | Arena | / | Buch | False
93 | 76450630 | Drei Männer im Schnee | Erich Kästner | Ullstein | / | Buch | False
94 | 76450053 | Die nacht gehört den Drachen | Louisa Walsh | Carlsen | / | Buch | False
95 | 76450631 | Die Abenteuer des Apollo | Rick Riordan | Carlsen | / | Buch | False
96 | 76450632 | Elanus | Ursula Ursula Poznanski | Loewe | / | Buch | False
97 | 76450523 | rausmitderdicken | Sophia Bennett | chicken house | / | Buch | False
98 | 76450020 | Ich kann jederzeit aufhören | Ruth Omphalius | Arena | / | Buch | False
99 | 76450633 | The Vampire Diaries | L.J. Smith | Harper Collins | / | Buch | False
100 | 76450634 | Die gruseligsten Grusel geschichten | Roberth Arthur | Dias des Bavaria | / | Buch | False
101 | 76450635 | Das Verlassene Buch am Strand | Scott O'Dell | Benziger | / | Buch | False
102 | 76450636 | Thalamus | Ursula Poznanski | Loewe | / | Buch | False
103 | 76450022 | Julischatten | Antje Babendererde | Arena | / | Buch | False
104 | 76450637 | Hyde | Antje Wagner | Belt & Geldberg | / | Buch | False
105 | 76450638 | Bravelands Das Gesetz der Savanne | Erin Hunter | Belt & Geldberg | / | Buch | False
106 | 76450639 | Bravelands Der Aussenseiter | Erin Hunter | Belt & Geldberg | / | Buch | False
107 | 76450640 | In 80 Tagen um die Welt | Jules Verne | Loewe | / | Buch | False
108 | 76450641 | Oskar und das Geheimniss des Klosters | Glaudia Frieser | Dressler | / | Buch | False
109 | 76450642 | Im Schatten des Falken | Cynthia Voigt | Sauerländer | / | Buch | False
110 | 76450232 | Die Seiten der Welt | Kai Meyer | FJB | / | Buch | False
111 | 76450041 | Magisterium der weg ins Labyrinth | Holly black | one | / | Buch | False
112 | 76450376 | Unter Räubern | Andreas venzke | Boje | / | Buch | False
113 | 76450643 | Dewey und ich | Vicki Myron | Random House | / | Buch | False
114 | 76450098 | Das Schicksal Fährt Fahrrrad | Miriam Dubin | Planet Girl | / | Buch | False
115 | 76450644 | Die Stadt der Fliegenden Schiffe | Michael Stuhr | Thienemanns | / | Buch | False
116 | 76450312 | Ein Engländer zum Küssen | Martina Sahler | Thienemanns | / | Buch | False
117 | 76450645 | Liebe,Kuss,O Tannenbaum | Irene Zimmerman | Thienemanns | / | Buch | False
118 | 76450375 | Verküsst noch mal! | Hortense Ullrich | Thienemanns | / | Buch | False
119 | 76450372 | Neuer Kuss neues Glück | Hortense Ullrich | Thienemanns | / | Buch | False
120 | 76450316 | Italiener sind zum Küssen da | Martina Sahler | Thienemanns | / | Buch | False
121 | 76450373 | Ohne Chasos keine Küsse | Hortense Ullrich | Thienemanns | / | Buch | False
122 | 76450646 | Liebestest & Musenkuss | Bianka Minte-König | Thienemanns | / | Buch | False
123 | 76450647 | Liebesquiz & Pferdekuss | Bianka Minte-König | Thienemanns | / | Buch | False
124 | 76450649 | … und wer liebt mich | Hortense Ullrich | Thienemanns | / | Buch | False
125 | 76450650 | Liebe, Gips & Gänseblümchen | Irene Zimmerman | Thienemanns | / | Buch | False
126 | 76450313 | Franzosen küssen besser | Martina Sahler | Thienemanns | / | Buch | False
127 | 76450651 | Never Kiss a Witch | Hortense Ullrich | Thienemanns | / | Buch | False
128 | 76450652 | Küsswe, Flirt & Torschusspanik | Irene Zimmerman | Thienemanns | / | Buch | False
129 | 76450654 | Küsswe, Flirt & Torschusspanik | Irene Zimmerman | Thienemanns | / | Buch | False
130 | 76450653 | Küsse, Krisen, große Ferien | Zimmermann & Zimmerman | Thienemanns | / | Buch | False
131 | 76450655 | Wer zuletzt küsst … | Hortense Ullrich | Thienemanns | / | Buch | False
132 | 76450656 | Alisha steht kopf | Katherine Apple | Arena | / | Buch | False
133 | 76450073 | Falling in Love | susane Colasanti | Arena | / | Buch | False
134 | 76450209 | Liebe ist ein Nashorn | Isabelle Göntgen | Kosmos | / | Buch | False
135 | 76450210 | Nashörner haben auch gefühle | Isabelle Göntgen | Kosmos | / | Buch | False
136 | 76450658 | Die Sonate des Einhorns | Peter S. Beagle | Diana Verlag | / | Buch | False
137 | 76450659 | Tina und Tini Das Rätsel der Martzipantorte | Euid Bluton | Schneider Buch | / | Buch | False
